instance,family,distribution,source_file,sha256,locations,customers,vehicle_limit,capacity,total_demand,capacity_vehicle_lower_bound,mean_demand,std_demand,min_demand,max_demand,mean_window_width,std_window_width,min_window_width,max_window_width,mean_service_time,depot_ready_time,depot_due_date,depot_x,depot_y,mean_depot_distance,max_depot_distance,mean_nearest_neighbor_distance,mean_preliminary_difficulty,individually_infeasible_customers,matrix_rows,matrix_columns,matrix_diagonal_max_abs,matrix_symmetry_max_abs,triangle_samples,triangle_max_violation,errors,warnings,valid
C1_10_1,C1,Clustered / type 1,C1_10_1.TXT,71212f0276856362239cd696673d2bc31f83c8561dc784260b495718ac852aff,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,59.646,10.113193560888668,26.0,96.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.39715167809921936,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_2,C1,Clustered / type 1,C1_10_2.TXT,71ac290b422f55870e793580b57aaa0a8e54b75d3026d21307eec6703c64a62e,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,427.815,638.7360352876609,30.0,1728.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.4792759082859914,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_3,C1,Clustered / type 1,C1_10_3.TXT,a33a3c38f1e8b82d2c4375a4c974a57c2b65ea9e8c7b0b6b3d10065e82e8f203,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,797.886,740.0200247317636,30.0,1732.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.4069817715467019,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_4,C1,Clustered / type 1,C1_10_4.TXT,d7f0ad9b4846af35cc54b481491206628faddff1e2e9c22c90d1090ac25f5054,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,1164.585,641.2907505765228,30.0,1732.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.33516449775116725,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_5,C1,Clustered / type 1,C1_10_5.TXT,4b31d21bd3e7fe215f7975029cedde6c01f0aa2e7655488a7ac77639004a7a2c,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,120.645,20.398112044990828,58.0,185.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.3929481535397883,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_6,C1,Clustered / type 1,C1_10_6.TXT,73e4ee1c54dbc552bb5fa90c8cb442962c123aed7a5d2c7d45dfbb9384453499,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,159.055,82.386467183634,6.0,435.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.43844687179441105,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_7,C1,Clustered / type 1,C1_10_7.TXT,f2562ff7f937aec48dd9d40add88b9af10f3eb37a55939eef611389154c665a0,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,180.0,0.0,180.0,180.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.5573707257182646,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_8,C1,Clustered / type 1,C1_10_8.TXT,604ef7c2bb9bc8312634500dafb93ba5f2beb0e31695670a0b7cf954e6afb9a7,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,239.803,41.05065396555821,88.0,369.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.3772959926221799,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_9,C1,Clustered / type 1,C1_10_9.TXT,614e7b5f6f9d323ccf055682762f7e6272f026a155f2ceaec67b3a77ba056f49,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,360.0,0.0,360.0,360.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.5573707257182646,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C1_10_10,C1,Clustered / type 1,C1_10_10.TXT,40a3ddb6b25a698df709ffe159aeb3d33d5799d589f49c1a8e4572476cbc53ea,1001,1000,250,200,17940.0,90,17.94,7.959673360132311,10.0,40.0,476.073,89.11365591759773,208.0,763.0,90.0,0.0,1824.0,250.0,250.0,201.39422337210365,345.79329085452196,2.5471499564386164,0.3963659209134602,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_1,C2,Clustered / type 2,C2_10_1.TXT,a714abab4d36bcbfd4c31c50986818a0fa44f4c6332b265ecd4599152f930634,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,160.0,0.0,160.0,160.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.5245182237983669,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_2,C2,Clustered / type 2,C2_10_2.TXT,b0e53e1c0a42000a7a4f5d5a7387d78f8f33849546ccb33b2f0591e3c802cff7,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,1033.278,1512.913461079648,160.0,3803.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.44461356646466754,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_3,C2,Clustered / type 2,C2_10_3.TXT,d717bffdb274fd6b4eb591355a90b08a696f39c6744254318556355bae185ea7,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,1906.524,1747.124976475352,160.0,3818.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.36536713941710214,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_4,C2,Clustered / type 2,C2_10_4.TXT,b289613e88954f9f1777a8f6397a2e7dab7b5a2f47411f1d49be15485d3b5eb6,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,2781.139,1514.380010987665,160.0,3818.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.2856683058103953,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_5,C2,Clustered / type 2,C2_10_5.TXT,e3336a927836a98e1a2e998f81cdccf18c14151e7b8a75ba9708ea7e63d264f8,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,320.0,0.0,320.0,320.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.5245182237983669,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_6,C2,Clustered / type 2,C2_10_6.TXT,79bfec050a26f5014fdee6f921461398799245df8db37f9c3863bf8149075880,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,501.162,90.20047536460105,166.0,799.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.34802427961721916,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_7,C2,Clustered / type 2,C2_10_7.TXT,7487494adb697470f98cc971003cf13a94f45afcacd685c1950096aa32c898fc,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,630.99,290.5233654975104,23.0,1590.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.39518616678922,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_8,C2,Clustered / type 2,C2_10_8.TXT,b898941512d74f556cca9acc0392489b8f39ba8746720335a8d875655dddcb61,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,640.0,0.0,640.0,640.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.5245182237983669,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
C2_10_9,C2,Clustered / type 2,C2_10_9.TXT,960210c42bce1af267c46110e1bd611acc630c2773cc1618f19389b552ec88b0,1001,1000,250,700,19150.0,28,19.15,8.37720120326592,10.0,50.0,856.658,384.68336204728166,11.0,2238.0,90.0,0.0,3914.0,250.0,250.0,170.20780521831048,311.62316987027776,4.63993252667385,0.39794166340321646,0,1001,1001,0.0,0.0,3000,0.0,0,0,True
