instance,family,strategy,feasible,vehicle_count,total_distance,total_waiting,total_load,capacity_vehicle_lower_bound,vehicle_excess_over_capacity_lb,duplicate_customers,missing_customers,infeasible_routes,runtime_seconds,new_routes_created
C1_10_1,C1,earliest_due,True,108,47518.05523921198,4340.537749378597,17940.0,90,18,0,0,0,4.553454100037925,108
C1_10_1,C1,earliest_ready,True,107,47296.99063161093,3238.688536821339,17940.0,90,17,0,0,0,4.6948287999257445,107
C1_10_1,C1,largest_demand,True,160,91610.552605286,17709.106784368196,17940.0,90,70,0,0,0,4.966858599917032,160
C1_10_1,C1,farthest_from_depot,True,112,51202.66934609968,5125.451410200634,17940.0,90,22,0,0,0,4.07590109994635,112
C1_10_2,C1,earliest_due,True,98,58019.66987390134,4107.418537680095,17940.0,90,8,0,0,0,5.690691399970092,98
C1_10_2,C1,earliest_ready,True,127,76919.38089998801,9110.23092062018,17940.0,90,37,0,0,0,4.612176800030284,127
C1_10_2,C1,largest_demand,True,147,90171.8163746729,19604.763661587887,17940.0,90,57,0,0,0,4.564153100014664,147
C1_10_2,C1,farthest_from_depot,True,109,53720.54728319006,9892.290029054046,17940.0,90,19,0,0,0,3.931887499988079,109
C1_10_3,C1,earliest_due,True,97,72727.18084188645,3732.1521623844606,17940.0,90,7,0,0,0,4.650813600048423,97
C1_10_3,C1,earliest_ready,True,142,103606.69720930947,12371.336480382017,17940.0,90,52,0,0,0,4.335996099980548,142
C1_10_3,C1,largest_demand,True,128,83660.6777660138,14631.840169512037,17940.0,90,38,0,0,0,3.639374600024894,128
C1_10_3,C1,farthest_from_depot,True,103,56773.80242156081,10091.21246242106,17940.0,90,13,0,0,0,3.336192599963397,103
C1_10_4,C1,earliest_due,True,114,104648.14957239517,2625.128354961428,17940.0,90,24,0,0,0,3.9853600000496954,114
C1_10_4,C1,earliest_ready,True,143,121253.41173699286,9632.295295118158,17940.0,90,53,0,0,0,3.832406700006686,143
C1_10_4,C1,largest_demand,True,116,96950.1777028427,8125.8125180478955,17940.0,90,26,0,0,0,4.894850499927998,116
C1_10_4,C1,farthest_from_depot,True,104,77223.44250895896,5325.015061547548,17940.0,90,14,0,0,0,3.977309300098568,104
C1_10_5,C1,earliest_due,True,116,56742.49976104524,4937.665776600217,17940.0,90,26,0,0,0,4.835146900033578,116
C1_10_5,C1,earliest_ready,True,124,61519.11063896215,6174.279952055201,17940.0,90,34,0,0,0,5.211877700057812,124
C1_10_5,C1,largest_demand,True,156,94646.51832681296,11319.720194500564,17940.0,90,66,0,0,0,4.530184699920937,156
C1_10_5,C1,farthest_from_depot,True,118,57683.04043229528,3443.257031009582,17940.0,90,28,0,0,0,4.254292999976315,118
C1_10_6,C1,earliest_due,True,132,71683.86502937843,8094.980794981377,17940.0,90,42,0,0,0,5.431168799987063,132
C1_10_6,C1,earliest_ready,True,154,83571.09856143745,18176.082080305736,17940.0,90,64,0,0,0,5.573726200032979,154
C1_10_6,C1,largest_demand,True,156,95435.66276328295,10491.958739864807,17940.0,90,66,0,0,0,4.707531199906953,156
